region,packages_total_2018,packages_total_russian_2018,packages_total_foreign_2018,packages_total_foreign_citizens_2018,packages_total_2019,packages_total_russian_2019,packages_total_foreign_2019,packages_total_foreign_citizens_2019,packages_total_2020,packages_total_russian_2020,packages_total_foreign_2020,packages_total_foreign_citizens_2020,packages_total_2021,packages_total_russian_2021,packages_total_foreign_2021,packages_total_foreign_citizens_2021,packages_total_2022,packages_total_russian_2022,packages_total_foreign_2022,packages_total_foreign_citizens_2022,packages_total_2023,packages_total_russian_2023,packages_total_foreign_2023,packages_total_foreign_citizens_2023
Белгородская область,14138,4333,9805,,20646,4772,15874,,9694,5462,4232,,14901,5662,9239,,15222,8887,6165,170,17733,11803,5930,
Брянская область,9444,4438,5004,2,10459,4966,5492,1,3435,2336,1099,,7301,3822,3479,,11591,8265,3326,,10165,5377,4788,
Владимирская область,23900,12294,11243,363,23065,11558,10394,1113,7334,4282,2978,74,14730,8297,6426,7,18288,11359,6924,5,22334,13588,8737,9
Воронежская область,14554,8124,6430,,14464,4613,9851,,6681,3500,3181,,16296,8373,7923,,20958,13608,7350,,24993,14781,10212,
Ивановская область,17049,6592,10457,,17019,8327,8692,,6477,4167,2310,,10167,5722,4445,,13637,8575,5062,,18904,11002,7902,
Калужская область,39436,30811,7584,1041,37440,27506,9901,33,17976,15429,2484,63,31934,24860,7017,57,28053,21089,6938,26,30015,20404,9599,12
Костромская область,7514,2821,4693,,9779,3963,5816,,3890,2451,1439,,9669,5942,3727,,10474,7155,3319,,12382,7911,4471,
Курская область,10008,3339,6662,7,12047,3455,8587,5,3071,1544,1527,,6318,2413,3905,,7646,3963,3683,,7360,3280,4080,
Липецкая область,9307,3440,5867,,8438,2663,5775,,2214,1221,993,,4576,1845,2731,,5565,3076,2489,,7628,4099,3529,
Московская область,90769,36093,54025,651,111280,49639,60760,881,65091,28474,36585,32,120704,52554,68125,25,115521,46209,69241,71,160256,60285,99871,100
Орловская область,9426,4271,5155,,8168,2927,5230,11,3564,2037,1527,,6499,2791,3708,,6888,3723,3165,,8338,4291,4047,
Рязанская область,19380,5755,13625,,22810,5747,17063,,8115,3761,4354,,14050,5742,8308,,15003,6024,8979,,16743,6168,10575,
